"datekey","fulldatealternatekey"
20071211,"2007-12-11"
20071212,"2007-12-12"
20071213,"2007-12-13"
20071214,"2007-12-14"
20071215,"2007-12-15"
20071216,"2007-12-16"
20071217,"2007-12-17"
20071218,"2007-12-18"
20071219,"2007-12-19"
20071220,"2007-12-20"
20071221,"2007-12-21"
20071222,"2007-12-22"
20071223,"2007-12-23"
20071224,"2007-12-24"
20071225,"2007-12-25"
20071226,"2007-12-26"
20071227,"2007-12-27"
20071228,"2007-12-28"
20071229,"2007-12-29"
20071230,"2007-12-30"
20071231,"2007-12-31"
20080101,"2008-01-01"
20080102,"2008-01-02"
20080103,"2008-01-03"
20080104,"2008-01-04"
20080105,"2008-01-05"
20080106,"2008-01-06"
20080107,"2008-01-07"
20080108,"2008-01-08"
20080109,"2008-01-09"
20080110,"2008-01-10"
20080111,"2008-01-11"
20080112,"2008-01-12"
20080113,"2008-01-13"
20080114,"2008-01-14"
20080115,"2008-01-15"
20080116,"2008-01-16"
20080117,"2008-01-17"
20080118,"2008-01-18"
20080119,"2008-01-19"
20080120,"2008-01-20"
20080121,"2008-01-21"
20080122,"2008-01-22"
20080123,"2008-01-23"
20080124,"2008-01-24"
20080125,"2008-01-25"
20080126,"2008-01-26"
20080127,"2008-01-27"
20080128,"2008-01-28"
20080129,"2008-01-29"
20080130,"2008-01-30"
20080131,"2008-01-31"
20080201,"2008-02-01"
20080202,"2008-02-02"
20080203,"2008-02-03"
20080204,"2008-02-04"
20080205,"2008-02-05"
20080206,"2008-02-06"
20080207,"2008-02-07"
20080208,"2008-02-08"
20080209,"2008-02-09"
20080210,"2008-02-10"
20080211,"2008-02-11"
20080212,"2008-02-12"
20080213,"2008-02-13"
20080214,"2008-02-14"
20080215,"2008-02-15"
20080216,"2008-02-16"
20080217,"2008-02-17"
20080218,"2008-02-18"
20080219,"2008-02-19"
20080220,"2008-02-20"
20080221,"2008-02-21"
20080222,"2008-02-22"
20080223,"2008-02-23"
20080224,"2008-02-24"
20080225,"2008-02-25"
20080226,"2008-02-26"
20080227,"2008-02-27"
20080228,"2008-02-28"
20080229,"2008-02-29"
20080301,"2008-03-01"
20080302,"2008-03-02"
20080303,"2008-03-03"
20080304,"2008-03-04"
20080305,"2008-03-05"
20080306,"2008-03-06"
20080307,"2008-03-07"
20080308,"2008-03-08"
20080309,"2008-03-09"
20080310,"2008-03-10"
20080311,"2008-03-11"
20080312,"2008-03-12"
20080313,"2008-03-13"
20080314,"2008-03-14"
20080315,"2008-03-15"
20080316,"2008-03-16"
20080317,"2008-03-17"
20080318,"2008-03-18"
20080319,"2008-03-19"
20080320,"2008-03-20"
20080321,"2008-03-21"
20080322,"2008-03-22"
20080323,"2008-03-23"
20080324,"2008-03-24"
20080325,"2008-03-25"
20080326,"2008-03-26"
20080327,"2008-03-27"
20080328,"2008-03-28"
20080329,"2008-03-29"
20080330,"2008-03-30"
20080331,"2008-03-31"
20080401,"2008-04-01"
20080402,"2008-04-02"
20080403,"2008-04-03"
20080404,"2008-04-04"
20080405,"2008-04-05"
20080406,"2008-04-06"
20080407,"2008-04-07"
20080408,"2008-04-08"
20080409,"2008-04-09"
20080410,"2008-04-10"
20080411,"2008-04-11"
20080412,"2008-04-12"
20080413,"2008-04-13"
20080414,"2008-04-14"
20080415,"2008-04-15"
20080416,"2008-04-16"
20080417,"2008-04-17"
20080418,"2008-04-18"
20080419,"2008-04-19"
20080420,"2008-04-20"
20080421,"2008-04-21"
20080422,"2008-04-22"
20080423,"2008-04-23"
20080424,"2008-04-24"
20080425,"2008-04-25"
20080426,"2008-04-26"
20080427,"2008-04-27"
20080428,"2008-04-28"
20080429,"2008-04-29"
20080430,"2008-04-30"
20080501,"2008-05-01"
20080502,"2008-05-02"
20080503,"2008-05-03"
20080504,"2008-05-04"
20080505,"2008-05-05"
20080506,"2008-05-06"
20080507,"2008-05-07"
20080508,"2008-05-08"
20080509,"2008-05-09"
20080510,"2008-05-10"
20080511,"2008-05-11"
20080512,"2008-05-12"
20080513,"2008-05-13"
20080514,"2008-05-14"
20080515,"2008-05-15"
20080516,"2008-05-16"
20080517,"2008-05-17"
20080518,"2008-05-18"
20080519,"2008-05-19"
20080520,"2008-05-20"
20080521,"2008-05-21"
20080522,"2008-05-22"
20080523,"2008-05-23"
20080524,"2008-05-24"
20080525,"2008-05-25"
20080526,"2008-05-26"
20080527,"2008-05-27"
20080528,"2008-05-28"
20080529,"2008-05-29"
20080530,"2008-05-30"
20080531,"2008-05-31"
20080601,"2008-06-01"
20080602,"2008-06-02"
20080603,"2008-06-03"
20080604,"2008-06-04"
20080605,"2008-06-05"
20080606,"2008-06-06"
20080607,"2008-06-07"
20080608,"2008-06-08"
20080609,"2008-06-09"
20080610,"2008-06-10"
20080611,"2008-06-11"
20080612,"2008-06-12"
20080613,"2008-06-13"
20080614,"2008-06-14"
20080615,"2008-06-15"
20080616,"2008-06-16"
20080617,"2008-06-17"
20080618,"2008-06-18"
20080619,"2008-06-19"
20080620,"2008-06-20"
20080621,"2008-06-21"
20080622,"2008-06-22"
20080623,"2008-06-23"
20080624,"2008-06-24"
20080625,"2008-06-25"
20080626,"2008-06-26"
20080627,"2008-06-27"
20080628,"2008-06-28"
20080629,"2008-06-29"
20080630,"2008-06-30"
20080701,"2008-07-01"
20080702,"2008-07-02"
20080703,"2008-07-03"
20080704,"2008-07-04"
20080705,"2008-07-05"
20080706,"2008-07-06"
20080707,"2008-07-07"
20080708,"2008-07-08"
20080709,"2008-07-09"
20080710,"2008-07-10"
20080711,"2008-07-11"
20080712,"2008-07-12"
20080713,"2008-07-13"
20080714,"2008-07-14"
20080715,"2008-07-15"
20080716,"2008-07-16"
20080717,"2008-07-17"
20080718,"2008-07-18"
20080719,"2008-07-19"
20080720,"2008-07-20"
20080721,"2008-07-21"
20080722,"2008-07-22"
20080723,"2008-07-23"
20080724,"2008-07-24"
20080725,"2008-07-25"
20080726,"2008-07-26"
20080727,"2008-07-27"
20080728,"2008-07-28"
20080729,"2008-07-29"
20080730,"2008-07-30"
20080731,"2008-07-31"
20080801,"2008-08-01"
20080802,"2008-08-02"
20080803,"2008-08-03"
20080804,"2008-08-04"
20080805,"2008-08-05"
20080806,"2008-08-06"
20080807,"2008-08-07"
20080808,"2008-08-08"
20080809,"2008-08-09"
20080810,"2008-08-10"
20080811,"2008-08-11"
20080812,"2008-08-12"
20080813,"2008-08-13"
20080814,"2008-08-14"
20080815,"2008-08-15"
20080816,"2008-08-16"
20080817,"2008-08-17"
20080818,"2008-08-18"
20080819,"2008-08-19"
20080820,"2008-08-20"
20080821,"2008-08-21"
20080822,"2008-08-22"
20080823,"2008-08-23"
20080824,"2008-08-24"
20080825,"2008-08-25"
20080826,"2008-08-26"
20080827,"2008-08-27"
20080828,"2008-08-28"
20080829,"2008-08-29"
20080830,"2008-08-30"
20080831,"2008-08-31"
20080901,"2008-09-01"
20080902,"2008-09-02"
20080903,"2008-09-03"
20080904,"2008-09-04"
20080905,"2008-09-05"
20080906,"2008-09-06"
20080907,"2008-09-07"
20080908,"2008-09-08"
20080909,"2008-09-09"
20080910,"2008-09-10"
20080911,"2008-09-11"
20080912,"2008-09-12"
20080913,"2008-09-13"
20080914,"2008-09-14"
20080915,"2008-09-15"
20080916,"2008-09-16"
20080917,"2008-09-17"
20080918,"2008-09-18"
20080919,"2008-09-19"
20080920,"2008-09-20"
20080921,"2008-09-21"
20080922,"2008-09-22"
20080923,"2008-09-23"
20080924,"2008-09-24"
20080925,"2008-09-25"
20080926,"2008-09-26"
20080927,"2008-09-27"
20080928,"2008-09-28"
20080929,"2008-09-29"
20080930,"2008-09-30"
20081001,"2008-10-01"
20081002,"2008-10-02"
20081003,"2008-10-03"
20081004,"2008-10-04"
20081005,"2008-10-05"
20081006,"2008-10-06"
20081007,"2008-10-07"
20081008,"2008-10-08"
20081009,"2008-10-09"
20081010,"2008-10-10"
20081011,"2008-10-11"
20081012,"2008-10-12"
20081013,"2008-10-13"
20081014,"2008-10-14"
20081015,"2008-10-15"
20081016,"2008-10-16"
20081017,"2008-10-17"
20081018,"2008-10-18"
20081019,"2008-10-19"
20081020,"2008-10-20"
20081021,"2008-10-21"
20081022,"2008-10-22"
20081023,"2008-10-23"
20081024,"2008-10-24"
20081025,"2008-10-25"
20081026,"2008-10-26"
20081027,"2008-10-27"
20081028,"2008-10-28"
20081029,"2008-10-29"
20081030,"2008-10-30"
20081031,"2008-10-31"
20081101,"2008-11-01"
20081102,"2008-11-02"
20081103,"2008-11-03"
20081104,"2008-11-04"
20081105,"2008-11-05"
20081106,"2008-11-06"
20081107,"2008-11-07"
20081108,"2008-11-08"
20081109,"2008-11-09"
20081110,"2008-11-10"
20081111,"2008-11-11"
20081112,"2008-11-12"
20081113,"2008-11-13"
20081114,"2008-11-14"
20081115,"2008-11-15"
20081116,"2008-11-16"
20081117,"2008-11-17"
20081118,"2008-11-18"
20081119,"2008-11-19"
20081120,"2008-11-20"
20081121,"2008-11-21"
20081122,"2008-11-22"
20081123,"2008-11-23"
20081124,"2008-11-24"
20081125,"2008-11-25"
20081126,"2008-11-26"
20081127,"2008-11-27"
20081128,"2008-11-28"
20081129,"2008-11-29"
20081130,"2008-11-30"
20081201,"2008-12-01"
20081202,"2008-12-02"
20081203,"2008-12-03"
20081204,"2008-12-04"
20081205,"2008-12-05"
20081206,"2008-12-06"
20081207,"2008-12-07"
20081208,"2008-12-08"
20081209,"2008-12-09"
20081210,"2008-12-10"
20081211,"2008-12-11"
20081212,"2008-12-12"
20081213,"2008-12-13"
20081214,"2008-12-14"
20081215,"2008-12-15"
20081216,"2008-12-16"
20081217,"2008-12-17"
20081218,"2008-12-18"
20081219,"2008-12-19"
20081220,"2008-12-20"
20081221,"2008-12-21"
20081222,"2008-12-22"
20081223,"2008-12-23"
20081224,"2008-12-24"
20081225,"2008-12-25"
20081226,"2008-12-26"
20081227,"2008-12-27"
20081228,"2008-12-28"
20081229,"2008-12-29"
20081230,"2008-12-30"
20081231,"2008-12-31"
20090101,"2009-01-01"
20090102,"2009-01-02"
20090103,"2009-01-03"
20090104,"2009-01-04"
20090105,"2009-01-05"
20090106,"2009-01-06"
20090107,"2009-01-07"
20090108,"2009-01-08"
20090109,"2009-01-09"
20090110,"2009-01-10"
20090111,"2009-01-11"
20090112,"2009-01-12"
20090113,"2009-01-13"
20090114,"2009-01-14"
20090115,"2009-01-15"
20090116,"2009-01-16"
20090117,"2009-01-17"
20090118,"2009-01-18"
20090119,"2009-01-19"
20090120,"2009-01-20"
20090121,"2009-01-21"
20090122,"2009-01-22"
20090123,"2009-01-23"
20090124,"2009-01-24"
20090125,"2009-01-25"
20090126,"2009-01-26"
20090127,"2009-01-27"
20090128,"2009-01-28"
20090129,"2009-01-29"
20090130,"2009-01-30"
20090131,"2009-01-31"
20090201,"2009-02-01"
20090202,"2009-02-02"
20090203,"2009-02-03"
20090204,"2009-02-04"
20090205,"2009-02-05"
20090206,"2009-02-06"
20090207,"2009-02-07"
20090208,"2009-02-08"
20090209,"2009-02-09"
20090210,"2009-02-10"
20090211,"2009-02-11"
20090212,"2009-02-12"
20090213,"2009-02-13"
20090214,"2009-02-14"
20090215,"2009-02-15"
20090216,"2009-02-16"
20090217,"2009-02-17"
20090218,"2009-02-18"
20090219,"2009-02-19"
20090220,"2009-02-20"
20090221,"2009-02-21"
20090222,"2009-02-22"
20090223,"2009-02-23"
20090224,"2009-02-24"
20090225,"2009-02-25"
20090226,"2009-02-26"
20090227,"2009-02-27"
20090228,"2009-02-28"
20090301,"2009-03-01"
20090302,"2009-03-02"
20090303,"2009-03-03"
20090304,"2009-03-04"
20090305,"2009-03-05"
20090306,"2009-03-06"
20090307,"2009-03-07"
20090308,"2009-03-08"
20090309,"2009-03-09"
20090310,"2009-03-10"
20090311,"2009-03-11"
20090312,"2009-03-12"
20090313,"2009-03-13"
20090314,"2009-03-14"
20090315,"2009-03-15"
20090316,"2009-03-16"
20090317,"2009-03-17"
20090318,"2009-03-18"
20090319,"2009-03-19"
20090320,"2009-03-20"
20090321,"2009-03-21"
20090322,"2009-03-22"
20090323,"2009-03-23"
20090324,"2009-03-24"
20090325,"2009-03-25"
20090326,"2009-03-26"
20090327,"2009-03-27"
20090328,"2009-03-28"
20090329,"2009-03-29"
20090330,"2009-03-30"
20090331,"2009-03-31"
20090401,"2009-04-01"
20090402,"2009-04-02"
20090403,"2009-04-03"
20090404,"2009-04-04"
20090405,"2009-04-05"
20090406,"2009-04-06"
20090407,"2009-04-07"
20090408,"2009-04-08"
20090409,"2009-04-09"
20090410,"2009-04-10"
20090411,"2009-04-11"
20090412,"2009-04-12"
20090413,"2009-04-13"
20090414,"2009-04-14"
20090415,"2009-04-15"
20090416,"2009-04-16"
20090417,"2009-04-17"
20090418,"2009-04-18"
20090419,"2009-04-19"
20090420,"2009-04-20"
20090421,"2009-04-21"
20090422,"2009-04-22"
20090423,"2009-04-23"
20090424,"2009-04-24"
20090425,"2009-04-25"
20090426,"2009-04-26"
20090427,"2009-04-27"
20090428,"2009-04-28"
20090429,"2009-04-29"
20090430,"2009-04-30"
20090501,"2009-05-01"
20090502,"2009-05-02"
20090503,"2009-05-03"
20090504,"2009-05-04"
20090505,"2009-05-05"
20090506,"2009-05-06"
20090507,"2009-05-07"
20090508,"2009-05-08"
20090509,"2009-05-09"
20090510,"2009-05-10"
20090511,"2009-05-11"
20090512,"2009-05-12"
20090513,"2009-05-13"
20090514,"2009-05-14"
20090515,"2009-05-15"
20090516,"2009-05-16"
20090517,"2009-05-17"
20090518,"2009-05-18"
20090519,"2009-05-19"
20090520,"2009-05-20"
20090521,"2009-05-21"
20090522,"2009-05-22"
20090523,"2009-05-23"
20090524,"2009-05-24"
20090525,"2009-05-25"
20090526,"2009-05-26"
20090527,"2009-05-27"
20090528,"2009-05-28"
20090529,"2009-05-29"
20090530,"2009-05-30"
20090531,"2009-05-31"
20090601,"2009-06-01"
20090602,"2009-06-02"
20090603,"2009-06-03"
20090604,"2009-06-04"
20090605,"2009-06-05"
20090606,"2009-06-06"
20090607,"2009-06-07"
20090608,"2009-06-08"
20090609,"2009-06-09"
20090610,"2009-06-10"
20090611,"2009-06-11"
20090612,"2009-06-12"
20090613,"2009-06-13"
20090614,"2009-06-14"
20090615,"2009-06-15"
20090616,"2009-06-16"
20090617,"2009-06-17"
20090618,"2009-06-18"
20090619,"2009-06-19"
20090620,"2009-06-20"
20090621,"2009-06-21"
20090622,"2009-06-22"
20090623,"2009-06-23"
20090624,"2009-06-24"
20090625,"2009-06-25"
20090626,"2009-06-26"
20090627,"2009-06-27"
20090628,"2009-06-28"
20090629,"2009-06-29"
20090630,"2009-06-30"
20090701,"2009-07-01"
20090702,"2009-07-02"
20090703,"2009-07-03"
20090704,"2009-07-04"
20090705,"2009-07-05"
20090706,"2009-07-06"
20090707,"2009-07-07"
20090708,"2009-07-08"
20090709,"2009-07-09"
20090710,"2009-07-10"
20090711,"2009-07-11"
20090712,"2009-07-12"
20090713,"2009-07-13"
20090714,"2009-07-14"
20090715,"2009-07-15"
20090716,"2009-07-16"
20090717,"2009-07-17"
20090718,"2009-07-18"
20090719,"2009-07-19"
20090720,"2009-07-20"
20090721,"2009-07-21"
20090722,"2009-07-22"
20090723,"2009-07-23"
20090724,"2009-07-24"
20090725,"2009-07-25"
20090726,"2009-07-26"
20090727,"2009-07-27"
20090728,"2009-07-28"
20090729,"2009-07-29"
20090730,"2009-07-30"
20090731,"2009-07-31"
20090801,"2009-08-01"
20090802,"2009-08-02"
20090803,"2009-08-03"
20090804,"2009-08-04"
20090805,"2009-08-05"
20090806,"2009-08-06"
20090807,"2009-08-07"
20090808,"2009-08-08"
20090809,"2009-08-09"
20090810,"2009-08-10"
20090811,"2009-08-11"
20090812,"2009-08-12"
20090813,"2009-08-13"
20090814,"2009-08-14"
20090815,"2009-08-15"
20090816,"2009-08-16"
20090817,"2009-08-17"
20090818,"2009-08-18"
20090819,"2009-08-19"
20090820,"2009-08-20"
20090821,"2009-08-21"
20090822,"2009-08-22"
20090823,"2009-08-23"
20090824,"2009-08-24"
20090825,"2009-08-25"
20090826,"2009-08-26"
20090827,"2009-08-27"
20090828,"2009-08-28"
20090829,"2009-08-29"
20090830,"2009-08-30"
20090831,"2009-08-31"
20090901,"2009-09-01"
20090902,"2009-09-02"
20090903,"2009-09-03"
20090904,"2009-09-04"
20090905,"2009-09-05"
20090906,"2009-09-06"
20090907,"2009-09-07"
20090908,"2009-09-08"
20090909,"2009-09-09"
20090910,"2009-09-10"
20090911,"2009-09-11"
20090912,"2009-09-12"
20090913,"2009-09-13"
20090914,"2009-09-14"
20090915,"2009-09-15"
20090916,"2009-09-16"
20090917,"2009-09-17"
20090918,"2009-09-18"
20090919,"2009-09-19"
20090920,"2009-09-20"
20090921,"2009-09-21"
20090922,"2009-09-22"
20090923,"2009-09-23"
20090924,"2009-09-24"
20090925,"2009-09-25"
20090926,"2009-09-26"
20090927,"2009-09-27"
20090928,"2009-09-28"
20090929,"2009-09-29"
20090930,"2009-09-30"
20091001,"2009-10-01"
20091002,"2009-10-02"
20091003,"2009-10-03"
20091004,"2009-10-04"
20091005,"2009-10-05"
20091006,"2009-10-06"
20091007,"2009-10-07"
20091008,"2009-10-08"
20091009,"2009-10-09"
20091010,"2009-10-10"
20091011,"2009-10-11"
20091012,"2009-10-12"
20091013,"2009-10-13"
20091014,"2009-10-14"
20091015,"2009-10-15"
20091016,"2009-10-16"
20091017,"2009-10-17"
20091018,"2009-10-18"
20091019,"2009-10-19"
20091020,"2009-10-20"
20091021,"2009-10-21"
20091022,"2009-10-22"
20091023,"2009-10-23"
20091024,"2009-10-24"
20091025,"2009-10-25"
20091026,"2009-10-26"
20091027,"2009-10-27"
20091028,"2009-10-28"
20091029,"2009-10-29"
20091030,"2009-10-30"
20091031,"2009-10-31"
20091101,"2009-11-01"
20091102,"2009-11-02"
20091103,"2009-11-03"
20091104,"2009-11-04"
20091105,"2009-11-05"
20091106,"2009-11-06"
20091107,"2009-11-07"
20091108,"2009-11-08"
20091109,"2009-11-09"
20091110,"2009-11-10"
20091111,"2009-11-11"
20091112,"2009-11-12"
20091113,"2009-11-13"
20091114,"2009-11-14"
20091115,"2009-11-15"
20091116,"2009-11-16"
20091117,"2009-11-17"
20091118,"2009-11-18"
20091119,"2009-11-19"
20091120,"2009-11-20"
20091121,"2009-11-21"
20091122,"2009-11-22"
20091123,"2009-11-23"
20091124,"2009-11-24"
20091125,"2009-11-25"
20091126,"2009-11-26"
20091127,"2009-11-27"
20091128,"2009-11-28"
20091129,"2009-11-29"
20091130,"2009-11-30"
20091201,"2009-12-01"
20091202,"2009-12-02"
20091203,"2009-12-03"
20091204,"2009-12-04"
20091205,"2009-12-05"
20091206,"2009-12-06"
20091207,"2009-12-07"
20091208,"2009-12-08"
20091209,"2009-12-09"
20091210,"2009-12-10"
20091211,"2009-12-11"
20091212,"2009-12-12"
20091213,"2009-12-13"
20091214,"2009-12-14"
20091215,"2009-12-15"
20091216,"2009-12-16"
20091217,"2009-12-17"
20091218,"2009-12-18"
20091219,"2009-12-19"
20091220,"2009-12-20"
20091221,"2009-12-21"
20091222,"2009-12-22"
20091223,"2009-12-23"
20091224,"2009-12-24"
20091225,"2009-12-25"
20091226,"2009-12-26"
20091227,"2009-12-27"
20091228,"2009-12-28"
20091229,"2009-12-29"
20091230,"2009-12-30"
20091231,"2009-12-31"
20100101,"2010-01-01"
20100102,"2010-01-02"
20100103,"2010-01-03"
20100104,"2010-01-04"
20100105,"2010-01-05"
20100106,"2010-01-06"
20100107,"2010-01-07"
20100108,"2010-01-08"
20100109,"2010-01-09"
20100110,"2010-01-10"
20100111,"2010-01-11"
20100112,"2010-01-12"
20100113,"2010-01-13"
20100114,"2010-01-14"
20100115,"2010-01-15"
20100116,"2010-01-16"
20100117,"2010-01-17"
20100118,"2010-01-18"
20100119,"2010-01-19"
20100120,"2010-01-20"
20100121,"2010-01-21"
20100122,"2010-01-22"
20100123,"2010-01-23"
20100124,"2010-01-24"
20100125,"2010-01-25"
20100126,"2010-01-26"
20100127,"2010-01-27"
20100128,"2010-01-28"
20100129,"2010-01-29"
20100130,"2010-01-30"
20100131,"2010-01-31"
20100201,"2010-02-01"
20100202,"2010-02-02"
20100203,"2010-02-03"
20100204,"2010-02-04"
20100205,"2010-02-05"
20100206,"2010-02-06"
20100207,"2010-02-07"
20100208,"2010-02-08"
20100209,"2010-02-09"
20100210,"2010-02-10"
20100211,"2010-02-11"
20100212,"2010-02-12"
20100213,"2010-02-13"
20100214,"2010-02-14"
20100215,"2010-02-15"
20100216,"2010-02-16"
20100217,"2010-02-17"
20100218,"2010-02-18"
20100219,"2010-02-19"
20100220,"2010-02-20"
20100221,"2010-02-21"
20100222,"2010-02-22"
20100223,"2010-02-23"
20100224,"2010-02-24"
20100225,"2010-02-25"
20100226,"2010-02-26"
20100227,"2010-02-27"
20100228,"2010-02-28"
20100301,"2010-03-01"
20100302,"2010-03-02"
20100303,"2010-03-03"
20100304,"2010-03-04"
20100305,"2010-03-05"
20100306,"2010-03-06"
20100307,"2010-03-07"
20100308,"2010-03-08"
20100309,"2010-03-09"
20100310,"2010-03-10"
20100311,"2010-03-11"
20100312,"2010-03-12"
20100313,"2010-03-13"
20100314,"2010-03-14"
20100315,"2010-03-15"
20100316,"2010-03-16"
20100317,"2010-03-17"
20100318,"2010-03-18"
20100319,"2010-03-19"
20100320,"2010-03-20"
20100321,"2010-03-21"
20100322,"2010-03-22"
20100323,"2010-03-23"
20100324,"2010-03-24"
20100325,"2010-03-25"
20100326,"2010-03-26"
20100327,"2010-03-27"
20100328,"2010-03-28"
20100329,"2010-03-29"
20100330,"2010-03-30"
20100331,"2010-03-31"
20100401,"2010-04-01"
20100402,"2010-04-02"
20100403,"2010-04-03"
20100404,"2010-04-04"
20100405,"2010-04-05"
20100406,"2010-04-06"
20100407,"2010-04-07"
20100408,"2010-04-08"
20100409,"2010-04-09"
20100410,"2010-04-10"
20100411,"2010-04-11"
20100412,"2010-04-12"
20100413,"2010-04-13"
20100414,"2010-04-14"
20100415,"2010-04-15"
20100416,"2010-04-16"
20100417,"2010-04-17"
20100418,"2010-04-18"
20100419,"2010-04-19"
20100420,"2010-04-20"
20100421,"2010-04-21"
20100422,"2010-04-22"
20100423,"2010-04-23"
20100424,"2010-04-24"
20100425,"2010-04-25"
20100426,"2010-04-26"
20100427,"2010-04-27"
20100428,"2010-04-28"
20100429,"2010-04-29"
20100430,"2010-04-30"
20100501,"2010-05-01"
20100502,"2010-05-02"
20100503,"2010-05-03"
20100504,"2010-05-04"
20100505,"2010-05-05"
20100506,"2010-05-06"
20100507,"2010-05-07"
20100508,"2010-05-08"
20100509,"2010-05-09"
20100510,"2010-05-10"
20100511,"2010-05-11"
20100512,"2010-05-12"
20100513,"2010-05-13"
20100514,"2010-05-14"
20100515,"2010-05-15"
20100516,"2010-05-16"
20100517,"2010-05-17"
20100518,"2010-05-18"
20100519,"2010-05-19"
20100520,"2010-05-20"
20100521,"2010-05-21"
20100522,"2010-05-22"
20100523,"2010-05-23"
20100524,"2010-05-24"
20100525,"2010-05-25"
20100526,"2010-05-26"
20100527,"2010-05-27"
20100528,"2010-05-28"
20100529,"2010-05-29"
20100530,"2010-05-30"
20100531,"2010-05-31"
20100601,"2010-06-01"
20100602,"2010-06-02"
20100603,"2010-06-03"
20100604,"2010-06-04"
20100605,"2010-06-05"
20100606,"2010-06-06"
20100607,"2010-06-07"
20100608,"2010-06-08"
20100609,"2010-06-09"
20100610,"2010-06-10"
20100611,"2010-06-11"
20100612,"2010-06-12"
20100613,"2010-06-13"
20100614,"2010-06-14"
20100615,"2010-06-15"
20100616,"2010-06-16"
20100617,"2010-06-17"
20100618,"2010-06-18"
20100619,"2010-06-19"
20100620,"2010-06-20"
20100621,"2010-06-21"
20100622,"2010-06-22"
20100623,"2010-06-23"
20100624,"2010-06-24"
20100625,"2010-06-25"
20100626,"2010-06-26"
20100627,"2010-06-27"
20100628,"2010-06-28"
20100629,"2010-06-29"
20100630,"2010-06-30"
20100701,"2010-07-01"
20100702,"2010-07-02"
20100703,"2010-07-03"
20100704,"2010-07-04"
20100705,"2010-07-05"
20100706,"2010-07-06"
20100707,"2010-07-07"
20100708,"2010-07-08"
20100709,"2010-07-09"
20100710,"2010-07-10"
20100711,"2010-07-11"
20100712,"2010-07-12"
20100713,"2010-07-13"
20100714,"2010-07-14"
20100715,"2010-07-15"
20100716,"2010-07-16"
20100717,"2010-07-17"
20100718,"2010-07-18"
20100719,"2010-07-19"
20100720,"2010-07-20"
20100721,"2010-07-21"
20100722,"2010-07-22"
20100723,"2010-07-23"
20100724,"2010-07-24"
20100725,"2010-07-25"
20100726,"2010-07-26"
20100727,"2010-07-27"
20100728,"2010-07-28"
20100729,"2010-07-29"
20100730,"2010-07-30"
20100731,"2010-07-31"
20100801,"2010-08-01"
20100802,"2010-08-02"
20100803,"2010-08-03"
20100804,"2010-08-04"
20100805,"2010-08-05"
20100806,"2010-08-06"
20100807,"2010-08-07"
20100808,"2010-08-08"
20100809,"2010-08-09"
20100810,"2010-08-10"
20100811,"2010-08-11"
20100812,"2010-08-12"
20100813,"2010-08-13"
20100814,"2010-08-14"
20100815,"2010-08-15"
20100816,"2010-08-16"
20100817,"2010-08-17"
20100818,"2010-08-18"
20100819,"2010-08-19"
20100820,"2010-08-20"
20100821,"2010-08-21"
20100822,"2010-08-22"
20100823,"2010-08-23"
20100824,"2010-08-24"
20100825,"2010-08-25"
20100826,"2010-08-26"
20100827,"2010-08-27"
20100828,"2010-08-28"
20100829,"2010-08-29"
20100830,"2010-08-30"
20100831,"2010-08-31"
20100901,"2010-09-01"
20100902,"2010-09-02"
20100903,"2010-09-03"
20100904,"2010-09-04"
20100905,"2010-09-05"
20100906,"2010-09-06"
20100907,"2010-09-07"
20100908,"2010-09-08"
20100909,"2010-09-09"
20100910,"2010-09-10"
20100911,"2010-09-11"
20100912,"2010-09-12"
20100913,"2010-09-13"
20100914,"2010-09-14"
20100915,"2010-09-15"
20100916,"2010-09-16"
20100917,"2010-09-17"
20100918,"2010-09-18"
20100919,"2010-09-19"
20100920,"2010-09-20"
20100921,"2010-09-21"
20100922,"2010-09-22"
20100923,"2010-09-23"
20100924,"2010-09-24"
20100925,"2010-09-25"
20100926,"2010-09-26"
20100927,"2010-09-27"
20100928,"2010-09-28"
20100929,"2010-09-29"
20100930,"2010-09-30"
20101001,"2010-10-01"
20101002,"2010-10-02"
20101003,"2010-10-03"
20101004,"2010-10-04"
20101005,"2010-10-05"
20101006,"2010-10-06"
20101007,"2010-10-07"
20101008,"2010-10-08"
20101009,"2010-10-09"
20101010,"2010-10-10"
20101011,"2010-10-11"
20101012,"2010-10-12"
20101013,"2010-10-13"
20101014,"2010-10-14"
20101015,"2010-10-15"
20101016,"2010-10-16"
20101017,"2010-10-17"
20101018,"2010-10-18"
20101019,"2010-10-19"
20101020,"2010-10-20"
20101021,"2010-10-21"
20101022,"2010-10-22"
20101023,"2010-10-23"
20101024,"2010-10-24"
20101025,"2010-10-25"
20101026,"2010-10-26"
20101027,"2010-10-27"
20101028,"2010-10-28"
20101029,"2010-10-29"
20101030,"2010-10-30"
20101031,"2010-10-31"
20101101,"2010-11-01"
20101102,"2010-11-02"
20101103,"2010-11-03"
20101104,"2010-11-04"
20101105,"2010-11-05"
20101106,"2010-11-06"
20101107,"2010-11-07"
20101108,"2010-11-08"
20101109,"2010-11-09"
20101110,"2010-11-10"
20101111,"2010-11-11"
20101112,"2010-11-12"
20101113,"2010-11-13"
20101114,"2010-11-14"
20101115,"2010-11-15"
20101116,"2010-11-16"
20101117,"2010-11-17"
20101118,"2010-11-18"
20101119,"2010-11-19"
